2026-09-07 15:34:04,175 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 15:34:04,442 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 15:34:05,045 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-07 15:34:11,771 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-07 15:34:41,783 | INFO | system=destination_jira event=session_active url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-07 15:36:42,152 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:36:42,196 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:36:42,659 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:37:13,374 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 15:37:13,512 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 15:37:14,237 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-07 15:37:21,205 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:37:21,245 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:37:21,564 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:37:21,564 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-07 15:38:27,482 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21496&page_caps=&user_role=
2026-09-07 15:38:27,734 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21496&page_caps=&user_role=
2026-09-07 15:38:28,616 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2025-1828
2026-09-07 15:38:38,016 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:38:38,061 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:38:38,365 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:38:38,365 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-07 15:39:13,342 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21496&page_caps=&user_role=
2026-09-07 15:39:13,468 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21496&page_caps=&user_role=
2026-09-07 15:39:14,128 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2025-1828
2026-09-07 15:39:23,473 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:39:23,519 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:39:23,897 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:39:23,897 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-07 15:42:28,905 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 15:42:29,036 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 15:42:29,736 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-07 15:42:42,760 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:42:42,799 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:42:43,142 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:42:43,143 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-07 15:43:42,309 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:43:42,343 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:43:42,631 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:43:58,606 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:43:58,647 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:43:58,937 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:43:58,937 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-07 15:43:59,327 | INFO | system=destination_jira event=open_issue_fields
2026-09-07 15:48:53,600 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21496&page_caps=&user_role=
2026-09-07 15:48:53,864 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21496&page_caps=&user_role=
2026-09-07 15:48:54,522 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2025-1828
2026-09-07 15:49:03,406 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:49:03,452 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:49:03,786 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 15:49:03,786 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-07 15:49:04,169 | INFO | system=destination_jira event=open_issue_fields
2026-09-07 16:05:29,481 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21496&page_caps=&user_role=
2026-09-07 16:05:29,715 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21496&page_caps=&user_role=
2026-09-07 16:05:30,416 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2025-1828
2026-09-07 16:05:39,728 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 16:05:39,762 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 16:05:40,083 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 16:05:40,083 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-07 16:05:40,453 | INFO | system=destination_jira event=open_issue_fields
2026-09-07 16:10:50,513 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 16:10:50,777 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 16:10:51,424 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-07 16:13:43,806 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 16:13:43,945 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 16:13:48,968 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 16:13:49,113 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 16:13:49,684 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-07 16:14:15,016 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 16:14:15,151 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 16:14:15,780 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-07 16:14:23,196 | INFO | system=destination_jira event=login_check url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 16:14:23,241 | INFO | system=destination_jira event=login_submit url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 16:14:23,653 | INFO | system=destination_jira event=login_success url=http://jira.oblteh:8080/secure/Dashboard.jspa
2026-09-07 16:14:23,653 | INFO | system=destination_jira event=open_create_issue url=http://jira.oblteh:8080/secure/CreateIssue!default.jspa
2026-09-07 16:14:24,083 | INFO | system=destination_jira event=open_issue_fields
2026-09-07 16:25:36,722 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 16:25:36,868 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-07 16:25:37,757 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-08 08:21:35,552 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 08:21:35,658 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 08:21:36,184 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-08 12:44:54,674 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 12:44:54,818 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 12:44:55,484 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-08 12:45:40,577 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
