selector,moduleId,directory
adaptive-cell,49587,components/49587/adaptive-cell
chip-multi-checkbox-widget,94370,components/94370/chip-multi-checkbox-widget
chip-multi-checkbox-widget,92361,components/92361/chip-multi-checkbox-widget
gender-age-cell,10968,components/10968/gender-age-cell
timestamps-cell,12642,components/12642/timestamps-cell
app-info-icon,56470,components/56470/app-info-icon
app-chevron-down-icon,56470,components/56470/app-chevron-down-icon
app-delete-event-icon,56470,components/56470/app-delete-event-icon
app-stoma-events,56470,components/56470/app-stoma-events
lib-stoma-card-modal,56470,components/56470/lib-stoma-card-modal
app-modal,763,components/763/app-modal
app-add-patient-modal,42437,components/42437/app-add-patient-modal
app-add-stoma-modal,42437,components/42437/app-add-stoma-modal
app-confirmation-modal,42437,components/42437/app-confirmation-modal
app-confirmation-modal,89556,components/89556/app-confirmation-modal
peripheral-catheter,40600,components/40600/peripheral-catheter
urinary-catheter,40400,components/40400/urinary-catheter
catheter-monitoring,74645,components/74645/catheter-monitoring
catheter-card-modal,74645,components/74645/catheter-card-modal
catheter-installation,41396,components/41396/catheter-installation
lra-print-named-sticker-modal,18674,components/18674/lra-print-named-sticker-modal
lib-presenter,44785,components/44785/lib-presenter
app-pillbox-label-print,44785,components/44785/app-pillbox-label-print
dispensing-panel,44785,components/44785/dispensing-panel
banner-panel,44785,components/44785/banner-panel
app-writing-off-adding-pills,44785,components/44785/app-writing-off-adding-pills
app-pillbox-issue-modal,44785,components/44785/app-pillbox-issue-modal
app-dispensing-confirmation-modal,44785,components/44785/app-dispensing-confirmation-modal
app-utilize-confirmation-modal,44785,components/44785/app-utilize-confirmation-modal
app-injections-set-print,44785,components/44785/app-injections-set-print
qrcode,44785,components/44785/qrcode
app-injections-label-print,44785,components/44785/app-injections-label-print
utilized-reason-modal,44785,components/44785/utilized-reason-modal
utilize-confirmation-scan-modal,44785,components/44785/utilize-confirmation-scan-modal
injections-issue-modal,44785,components/44785/injections-issue-modal
app-table-content-header,44785,components/44785/app-table-content-header
app-table-filters-sidebar,44785,components/44785/app-table-filters-sidebar
app-dashboard,44785,components/44785/app-dashboard
app-sun-moon-icon,44785,components/44785/app-sun-moon-icon
app-clock-icon,44785,components/44785/app-clock-icon
pill-plan-medicines-panel,44785,components/44785/pill-plan-medicines-panel
pill-dosing-medications,44785,components/44785/pill-dosing-medications
time-slots,44785,components/44785/time-slots
app-info-icon,44785,components/44785/app-info-icon
pill-dosing-medications-adaptive,44785,components/44785/pill-dosing-medications-adaptive
app-issuing-medicines,44785,components/44785/app-issuing-medicines
app-preparing-filters,44785,components/44785/app-preparing-filters
infinity-scroll-container,44785,components/44785/infinity-scroll-container
app-preparing-table,44785,components/44785/app-preparing-table
app-preparing-table-mob,44785,components/44785/app-preparing-table-mob
app-preparing-tablet-holders,44785,components/44785/app-preparing-tablet-holders
pill-issuing-table-header,44785,components/44785/pill-issuing-table-header
app-list-ptient,44785,components/44785/app-list-ptient
app-patient-info,44785,components/44785/app-patient-info
pill-dosing-by-patient,44785,components/44785/pill-dosing-by-patient
pill-dosing-by-medicament,44785,components/44785/pill-dosing-by-medicament
barcode-scanner-livestream,44785,components/44785/barcode-scanner-livestream
barcode-scanner,44785,components/44785/barcode-scanner
app-cancel-form,33658,components/33658/app-cancel-form
app-complete-form-with-doc,4267,components/4267/app-complete-form-with-doc
app-complete-form,19339,components/19339/app-complete-form
app-confirm-form,2801,components/2801/app-confirm-form
app-final-form,7067,components/7067/app-final-form
consultation-item,53648,components/53648/consultation-item
app-consultations,53648,components/53648/app-consultations
instrumental-item,60649,components/60649/instrumental-item
app-instrumental-research,60649,components/60649/app-instrumental-research
app-pim-modal,38334,components/38334/app-pim-modal
app-cancel-move-request-modal,38334,components/38334/app-cancel-move-request-modal
app-comment,38334,components/38334/app-comment
app-menu,38334,components/38334/app-menu
app-appointment-list-icon,3235,components/3235/app-appointment-list-icon
app-arrow-icon,95737,components/95737/app-arrow-icon
app-back-round-icon,16160,components/16160/app-back-round-icon
app-close-icon,16311,components/16311/app-close-icon
app-plus-icon,57387,components/57387/app-plus-icon
app-sign-icon,90348,components/90348/app-sign-icon
app-tooltip-icon,89302,components/89302/app-tooltip-icon
st-morse-edit-modal,72866,components/72866/st-morse-edit-modal
st-news2-edit-modal,9340,components/9340/st-news2-edit-modal
app-tube-adaptive-cell,90015,components/90015/app-tube-adaptive-cell
tube-gender-age-cell,90015,components/90015/tube-gender-age-cell
tube-nurse-cell,90015,components/90015/tube-nurse-cell
tube-patient-fio-cell,90015,components/90015/tube-patient-fio-cell
tube-time-cell,90015,components/90015/tube-time-cell
app-loader,22840,components/22840/app-loader
app-delete-modal,21028,components/21028/app-delete-modal
app-tube-event-hint,83151,components/83151/app-tube-event-hint
app-tube-events,83151,components/83151/app-tube-events
app-tube-card,30229,components/30229/app-tube-card
app-add-patient-modal,79327,components/79327/app-add-patient-modal
app-tube-universal-list,79327,components/79327/app-tube-universal-list
app-tube-component,79327,components/79327/app-tube-component
app-tablet-scanner-widget,31224,components/31224/app-tablet-scanner-widget
app-search-small-icon,64545,components/64545/app-search-small-icon
task-tablet-search-widget,64545,components/64545/task-tablet-search-widget
task-tablet-sort-widget,71397,components/71397/task-tablet-sort-widget
common-modal-wrapper,78437,components/78437/common-modal-wrapper
scale-morse-form,53564,components/53564/scale-morse-form
scale-news2-form,31529,components/31529/scale-news2-form
ngx-image-viewer,15513,components/15513/ngx-image-viewer
app-root,15513,components/15513/app-root
tasks-component,15513,components/15513/tasks-component
app-diet-modal,15513,components/15513/app-diet-modal
app-place-patient-modal,15513,components/15513/app-place-patient-modal
tsk-common-state,15513,components/15513/tsk-common-state
app-image-mapper,15513,components/15513/app-image-mapper
tsk-hematomas-directory,15513,components/15513/tsk-hematomas-directory
lu-file-upload,15513,components/15513/lu-file-upload
sm-image-viewer-modal,15513,components/15513/sm-image-viewer-modal
tsk-hematomas-selected-area-stick,15513,components/15513/tsk-hematomas-selected-area-stick
tsk-hematomas,15513,components/15513/tsk-hematomas
tsk-skin-state,15513,components/15513/tsk-skin-state
tsk-jkt-state,15513,components/15513/tsk-jkt-state
tsk-oda-state,15513,components/15513/tsk-oda-state
tsk-central-catheter,15513,components/15513/tsk-central-catheter
tsk-patient-set,15513,components/15513/tsk-patient-set
tsk-initial-checklist-modal,15513,components/15513/tsk-initial-checklist-modal
app-tube-card-wrapper,15513,components/15513/app-tube-card-wrapper
tasks-universal-list,15513,components/15513/tasks-universal-list
tasks-universal-list-emergency,15513,components/15513/tasks-universal-list-emergency
app-logo-icon,15513,components/15513/app-logo-icon
app-pim-icon,15513,components/15513/app-pim-icon
app-tasks-icon,15513,components/15513/app-tasks-icon
app-laboratory-icon,15513,components/15513/app-laboratory-icon
app-pillbox-icon,15513,components/15513/app-pillbox-icon
app-injections-icon,15513,components/15513/app-injections-icon
app-pim-icon,15513,components/15513/app-pim-icon
app-cateters-icon,15513,components/15513/app-cateters-icon
app-temperature-icon,15513,components/15513/app-temperature-icon
app-stoma-icon,15513,components/15513/app-stoma-icon
app-tube-icon,15513,components/15513/app-tube-icon
app-arrow-right-icon,15513,components/15513/app-arrow-right-icon
app-upload-diet-document-icon,15513,components/15513/app-upload-diet-document-icon
app-close-big-icon,15513,components/15513/app-close-big-icon
task-tablet-reload-widget,15513,components/15513/task-tablet-reload-widget
app-sidebar,15513,components/15513/app-sidebar
app-footer,15513,components/15513/app-footer
app-main-layout,15513,components/15513/app-main-layout
compatibility-group-widget,15513,components/15513/compatibility-group-widget
ng-component,15513,components/15513/ng-component
panel-buttons-widget,15513,components/15513/panel-buttons-widget
period-widget,15513,components/15513/period-widget
ng-component,15513,components/15513/ng-component
app-replacement-modal,15513,components/15513/app-replacement-modal
tasks-appointment-custom-cell,15513,components/15513/tasks-appointment-custom-cell
transportation-seat-icon,15513,components/15513/transportation-seat-icon
transportation-stay-icon,15513,components/15513/transportation-stay-icon
transportation-lay-icon,15513,components/15513/transportation-lay-icon
tasks-transportation-custom-cell,15513,components/15513/tasks-transportation-custom-cell
tasks-news2-custom-cell,15513,components/15513/tasks-news2-custom-cell
tasks-care-custom-cell,15513,components/15513/tasks-care-custom-cell
tasks-temperature-custom-cell,15513,components/15513/tasks-temperature-custom-cell
task-adaptive-cell,15513,components/15513/task-adaptive-cell
patient-fio-custom-cell,15513,components/15513/patient-fio-custom-cell
tasks-ward-doctor-custom-cell,15513,components/15513/tasks-ward-doctor-custom-cell
tasks-state-custom-cell,15513,components/15513/tasks-state-custom-cell
emergency-adaptive-cell,15513,components/15513/emergency-adaptive-cell
emergency-wait,15513,components/15513/emergency-wait
tasks-transportation-custom-cell,15513,components/15513/tasks-transportation-custom-cell
cito-cell,15513,components/15513/cito-cell
doctor-name-cell,15513,components/15513/doctor-name-cell
group-compatibility-cell,15513,components/15513/group-compatibility-cell
name-age-cell,15513,components/15513/name-age-cell
register-date-cell,15513,components/15513/register-date-cell
status-cell,15513,components/15513/status-cell
urgency-cell,15513,components/15513/urgency-cell
operations-cell,15513,components/15513/operations-cell
cat-type-cell,15513,components/15513/cat-type-cell
install-date-cell,15513,components/15513/install-date-cell
cat-name-age-cell,15513,components/15513/cat-name-age-cell
last-treatment-cell,15513,components/15513/last-treatment-cell
cat-comment-cell,15513,components/15513/cat-comment-cell
catheter-adaptive-cell,15513,components/15513/catheter-adaptive-cell
referral-number-cell,15513,components/15513/referral-number-cell
st-patient-cell,15513,components/15513/st-patient-cell
st-ward-cell,15513,components/15513/st-ward-cell
st-news2-view-modal,15513,components/15513/st-news2-view-modal
st-news2-cell,15513,components/15513/st-news2-cell
st-temperature-cell,15513,components/15513/st-temperature-cell
st-pressure-cell,15513,components/15513/st-pressure-cell
st-hr-cell,15513,components/15513/st-hr-cell
st-rr-cell,15513,components/15513/st-rr-cell
st-morse-view-modal,15513,components/15513/st-morse-view-modal
st-morse-cell,15513,components/15513/st-morse-cell
st-transportability-cell,15513,components/15513/st-transportability-cell
st-bath-cell,15513,components/15513/st-bath-cell
st-linen-cell,15513,components/15513/st-linen-cell
st-pediculosis-cell,15513,components/15513/st-pediculosis-cell
st-weight-cell,15513,components/15513/st-weight-cell
st-liquid-cell,15513,components/15513/st-liquid-cell
st-urine-cell,15513,components/15513/st-urine-cell
st-feces-cell,15513,components/15513/st-feces-cell
st-phlegm-cell,15513,components/15513/st-phlegm-cell
st-adaptive-cell,15513,components/15513/st-adaptive-cell
course-start-cell,15513,components/15513/course-start-cell
course-end-cell,15513,components/15513/course-end-cell
pim-adaptive-cell,15513,components/15513/pim-adaptive-cell
urgency-cell,15513,components/15513/urgency-cell
urgency-cell,15513,components/15513/urgency-cell
patinet-name-stoma-cell,15513,components/15513/patinet-name-stoma-cell
patinet-name-pim-cell,15513,components/15513/patinet-name-pim-cell
cardNum-cell,15513,components/15513/cardNum-cell
custom-assignment-widget,15513,components/15513/custom-assignment-widget
ng-component,15513,components/15513/ng-component
chip-multi-checkbox-widget,15513,components/15513/chip-multi-checkbox-widget
app-space-separator-widget,15513,components/15513/app-space-separator-widget
chip-multi-checkbox-widget,15513,components/15513/chip-multi-checkbox-widget
age-range-custom-widget,15513,components/15513/age-range-custom-widget
cdk-virtual-scroll-viewport,24098,components/24098/cdk-virtual-scroll-viewport
ng-component,3279,components/3279/ng-component
dp-single-icon,77015,components/77015/dp-single-icon
dp-icon-wrapper,77015,components/77015/dp-icon-wrapper
dp-icon-terminology-wrapper,77015,components/77015/dp-icon-terminology-wrapper
dp-terminology-checkbox-group,77015,components/77015/dp-terminology-checkbox-group
dp-static-terminology-checkbox-group,77015,components/77015/dp-static-terminology-checkbox-group
dp-terminology-chip-multiple-combobox,77015,components/77015/dp-terminology-chip-multiple-combobox
dp-static-terminology-chip-multiple-combobox,77015,components/77015/dp-static-terminology-chip-multiple-combobox
dp-terminology-chip-select,77015,components/77015/dp-terminology-chip-select
dp-static-terminology-chip-select,77015,components/77015/dp-static-terminology-chip-select
dp-terminology-chips-group,77015,components/77015/dp-terminology-chips-group
dp-static-terminology-chips-group,77015,components/77015/dp-static-terminology-chips-group
dp-terminology-combobox,77015,components/77015/dp-terminology-combobox
dp-static-terminology-combobox,77015,components/77015/dp-static-terminology-combobox
dp-terminology-multiple-combobox,77015,components/77015/dp-terminology-multiple-combobox
dp-static-terminology-multiple-combobox,77015,components/77015/dp-static-terminology-multiple-combobox
dp-terminology-radio-group,77015,components/77015/dp-terminology-radio-group
dp-static-terminology-radio-group,77015,components/77015/dp-static-terminology-radio-group
dp-terminology-segment-group,77015,components/77015/dp-terminology-segment-group
dp-static-terminology-segment-group,77015,components/77015/dp-static-terminology-segment-group
dp-terminology-toggle,77015,components/77015/dp-terminology-toggle
